id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.1470265E+03, -0.4207604E+02,     1.062,     1.271
           2,  0.1470265E+03, -0.4207591E+02,     1.809,     2.278
           3,  0.1470264E+03, -0.4207583E+02,     1.180,     1.596
           4,  0.1470263E+03, -0.4207597E+02,     1.655,     2.082
           5,  0.1470265E+03, -0.4207627E+02,     1.104,     1.322
           6,  0.1470266E+03, -0.4207613E+02,     2.026,     2.441
           7,  0.1470264E+03, -0.4207608E+02,     1.357,     1.629
           8,  0.1470264E+03, -0.4207621E+02,     1.845,     2.235
           9,  0.1470267E+03, -0.4207636E+02,     1.059,     1.327
          10,  0.1470265E+03, -0.4207632E+02,     1.052,     1.270
          11,  0.1470265E+03, -0.4207641E+02,     0.970,     1.227
          12,  0.1470266E+03, -0.4207644E+02,     1.214,     1.615
          13,  0.1470268E+03, -0.4207596E+02,     1.070,     1.282
          14,  0.1470266E+03, -0.4207587E+02,     1.817,     2.277
          15,  0.1470266E+03, -0.4207579E+02,     0.859,     1.154
          16,  0.1470269E+03, -0.4207619E+02,     1.109,     1.329
          17,  0.1470267E+03, -0.4207609E+02,     2.022,     2.427
          18,  0.1470268E+03, -0.4207632E+02,     2.251,     2.807
          19,  0.1470269E+03, -0.4207643E+02,     1.285,     1.696
          20,  0.1470266E+03, -0.4207600E+02,     1.063,     1.273
          21,  0.1470265E+03, -0.4207581E+02,     1.130,     1.520
          22,  0.1470267E+03, -0.4207623E+02,     1.108,     1.327
          23,  0.1470268E+03, -0.4207645E+02,     1.366,     2.014
          24,  0.1470267E+03, -0.4207642E+02,     0.799,     1.192
          25,  0.1470267E+03, -0.4207648E+02,     1.212,   125.713
          26,  0.1469839E+03, -0.4207308E+02,     0.807,   148.890
          27,  0.1469839E+03, -0.4207307E+02,     0.851,   464.350
          28,  0.1469839E+03, -0.4207305E+02,     0.891,   487.736
          29,  0.1469839E+03, -0.4207312E+02,     0.619,     1.222
          30,  0.1469839E+03, -0.4207311E+02,     0.747,     2.033
          31,  0.1469839E+03, -0.4207310E+02,     0.782,     2.127
          32,  0.1469839E+03, -0.4207317E+02,     0.615,     1.211
          33,  0.1469839E+03, -0.4207315E+02,     0.673,     1.528
          34,  0.1469839E+03, -0.4207314E+02,     0.696,     1.574
          35,  0.1469839E+03, -0.4207321E+02,     0.763,   169.677
          36,  0.1469839E+03, -0.4207319E+02,     0.745,     2.022
          37,  0.1469838E+03, -0.4207318E+02,     0.780,     2.115
          38,  0.1469839E+03, -0.4207324E+02,     0.874,   604.681
          39,  0.1469838E+03, -0.4207323E+02,     0.884,   635.372
